,variety,type
530,Moscatel Graúdo,White
531,Pigato,White
532,Siegerrebe,White
533,Bombino Bianco,White
534,Trebbiano-Malvasia,White
535,Magliocco,Red
536,Verduzzo Friulano ,White
537,Vespaiolo,White
538,Marzemino,Red
539,Tempranillo-Malbec,Red
540,Crespiello,Red
541,Cabernet Franc-Tempranillo,Red
542,Gouveio,White
543,Caprettone,White
544,Garnacha-Graciano,Red
545,Mataro,Red
546,Pineau d'Aunis,Red
547,Bual,Red
548,Sercial,Red
549,Moscato di Noto,White
550,Sauvignonasse,White
551,Madeira Blend,Red
552,St. George,Red
553,Rebula,White
554,Pallagrello Bianco,White
555,Vilana,White
556,Pelaverga Piccolo,Red
557,Syrah-Grenache-Viognier,Red
558,Alvarelhão,Red
559,Durif,Red
560,Angevine,White
561,Semillon-Chardonnay,White
562,Pinot Blanc-Pinot Noir,White
563,Manzoni,Red
564,Maréchal Foch,Red
565,Blauer Portugieser,Red
566,Tocai,White
567,Shiraz-Malbec,Red
568,Cabernet Moravia,Red
569,Espadeiro,Red
570,País,White
571,Altesse,White
572,Avesso,White
573,Grignolino,Red
574,Mandilaria,Red
575,Freisa,Red
576,Merlot-Shiraz,Red
577,Dafni,White
578,Xynisteri,White
579,Grechetto,White
580,Roscetto,White
581,Sideritis,White
582,Pinotage-Merlot,Red
583,Asprinio,White
584,Grolleau,Red
585,Gragnano,Red
586,Ansonica,White
587,Sangiovese Cabernet,Red
588,Tinta Barroca,Red
589,Syrah-Bonarda,Red
590,Marsanne-Viognier,White
591,Azal,White
592,Durello,White
593,Syrah-Malbec,Red
594,Malbec-Cabernet Franc,Red
595,Franconia,White
596,Rufete,Red
597,Parraleta,Red
598,St. Vincent,White
599,Groppello,Red
600,Athiri,White
601,Muscat of Alexandria,White
602,Malvoisie,White
603,Colorino,Red
604,Merlot-Grenache,Red
605,Terret Blanc,White
606,Chardonel,White
607,Macabeo-Gewürztraminer,White
608,Grenache Gris,White
609,Rabigato,White
610,Muscat Hamburg,Red
611,Sarba,White
612,Irsai Oliver,White
613,Chardonnay-Pinot Gris,White
614,Vermentino Nero,Red
615,Pardina,White
616,Apple,White
617,Clairette,White
618,Sauvignon Musqué,White
619,Shiraz-Merlot,Red
620,Viognier-Valdiguié,White
621,Chardonelle,White
622,Malmsey,Red
623,Tinta Negra Mole,Red
624,Pinot Grigio-Chardonnay,White
625,Muscadet,White
626,Viura-Sauvignon Blanc,White
627,Huxelrebe,White
628,Tokay Pinot Gris,White
629,Chardonnay-Pinot Grigio,White
630,Moristel,Red
631,Carnelian,Red
